官封到节度使皇王恩重,0,官封到节度使（喏）皇王恩重，
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,1080426.2325972705,1.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,1217791.4557904417,1.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,1514408.466666637,0.9
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,2968263.9928943696,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,3428027.7319944147,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,4006398.9997497764,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4008795.3750540647,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4063025.8061583815,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4106106.9175512423,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4119033.7999668117,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4168441.361567199,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,4242076.89253581,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,4336245.048339215,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,4453510.262829034,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4480901.816305775,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,4498831.109635118,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,4507525.260945604,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4557814.4182757195,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4630665.593939771,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,4659466.254786381,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4689623.4102781,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,4695968.890846428,0.1
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4713443.135785532,0.1
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,4733490.035302107,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4824709.327576195,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,4829214.979978904,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,4831495.769221841,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,4832662.808769249,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,4854550.202262148,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,4921531.405459694,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4933401.3377900785,0.1
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,4936656.555254021,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,4938538.866765151,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,5017581.005704041,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5045333.568942071,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,5055827.640592498,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,5062334.124087999,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,5079382.5876228735,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5093174.549214893,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,5099805.602539412,0.1
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5109924.597097982,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,5117014.24822597,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5131002.359879211,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,5145179.754550477,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5183594.761774582,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,5202360.165461085,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,5204185.7338784635,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,5229774.648112209,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5231729.949456233,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5231989.578786182,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,5238762.24592014,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,5239723.377042469,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,5242586.564692842,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,5245107.572574794,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5316147.970151205,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5318633.666302578,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5328954.722392246,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5338608.272618577,0.1
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,5339309.931214156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,5340624.523338403,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5343495.725740495,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,5356535.258407717,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5358642.686142353,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,5379829.137236571,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5435618.793916964,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5449893.56121744,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,5465570.980331182,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,5468416.930116241,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5470160.334645261,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,5476934.671359298,0.0
