那乃是萧天佐以假成真,0,那乃是萧天佐以（呀）假成真；
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,2913804.2930002203,1.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4600362.360838933,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,4610823.229062169,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,4680170.029499458,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4821374.342494814,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4822071.169112607,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,4840978.630689363,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,4915539.42252137,0.1
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,4973945.2438213425,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,5004567.758085115,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5025002.206534461,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5087609.063688504,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5142533.136334985,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,5147884.473801462,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5168160.451854336,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,5175595.393020662,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5187887.92959337,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5223585.719424815,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5284969.320066293,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5290099.031905358,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5405805.8523381,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,5433571.882832597,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5454879.12181188,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5502690.13851746,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5502690.13851746,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5533666.34808159,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5536791.351913799,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5594348.856896941,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5623590.945835243,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5664306.502270299,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,5709599.682538127,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5768021.565334,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,5813750.774537057,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5848476.483161021,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,5848923.668520699,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5875748.774317929,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,5888196.925913466,0.1
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,5900253.752293354,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,5943151.337317981,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5979817.39888174,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5982037.491812985,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,5989290.201772816,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5990354.065379411,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6004458.202547201,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,6022950.247787951,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,6022950.247787951,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6074794.136954914,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,6123911.245141029,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6131606.389493887,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,6133854.351857476,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,6177749.02294529,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,6189294.120988268,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,6204960.765680778,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6230498.101503234,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6287905.548429754,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6287972.038781812,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6317393.427394618,0.0
