有生之日责当尽,5,有生之日责当尽，
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,1350255.030132236,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,1406743.8511233723,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,1620794.8873490365,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1748890.6009076333,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2166796.7206531572,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,2182189.5021521905,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,2259663.7929306668,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,2337724.5003323378,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,2372134.8657667153,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,2409931.9897987326,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2410303.0043651452,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,2463974.1883175755,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2583839.1445367094,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,2593270.0543835377,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2616447.1006290191,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2705987.0026574549,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2778104.0441155294,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,2825288.6627244689,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,2853846.8796562348,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,2880818.3370911824,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,2913521.9198335255,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3077643.5057616062,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3124357.8242776832,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,3236382.9121231991,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3312203.0022381693,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3316031.5736603811,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3446685.0715606692,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3451857.7437262256,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,3505485.2305898177,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,3579449.2719689845,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,3581083.1327363537,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3588320.1918142792,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3593793.6220501456,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3607559.2593633328,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3664543.2184366747,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,3726210.9752973714,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,3744441.6156070116,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3764864.6625790591,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3767197.0336660612,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3817241.737430891,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,3888541.9962876686,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,3917791.402918071,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,3950063.6889273291,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,3975864.7574111037,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,3986350.2247263244,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,3994324.6848523538,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3995673.9476677789,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4028777.4070241121,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4065599.786653867,0.14285714285714285
