为国家哪何曾半日闲空,1,为国家哪何曾半日闲空，
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,752626.7553640627,0.9
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,862346.4951931416,1.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,892807.2763448206,1.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,1702122.0403197582,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,2130641.527679806,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,2182078.9696902963,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,2274770.5627840813,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,2287513.549005781,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,2554977.8075416186,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,2615366.164444528,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,2621519.901591947,0.1
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,2643666.1354937446,0.1
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,2701164.8831132753,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,2733973.956333366,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,2773592.9344509114,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,2933433.132990485,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,2962048.485037086,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,3099531.690511194,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,3168891.5817188346,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,3472040.746934866,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,3536185.774928934,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,3560987.1901506516,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,3608714.925469348,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,3759993.0429053744,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,3827050.0134643717,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,3831528.174248878,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,3861469.72101704,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,3873642.8428374827,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,3890104.6552060517,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,3928376.9926172094,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,3949124.2425510753,0.1
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,4000989.87498669,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,4053494.946998646,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,4078017.834203476,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,4096544.6447881525,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4101980.236377442,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,4105745.213437215,0.1
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,4154081.3926536567,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,4158440.209794877,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,4222924.9658806035,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,4224898.568409771,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,4228767.73191782,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,4257554.496070792,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,4284056.993283329,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4292887.156698811,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,4314724.790905994,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4349277.67383518,0.0
