今夜晚怎能够盼到明天,0,今夜晚怎能够盼到明天。
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,1185400.9178924565,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,1285533.7197093726,1.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,3438713.44249111,0.1
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,4090238.798558989,0.1
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,4210975.242304115,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4430468.806106494,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,4594952.477785708,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,4636135.34466595,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,4837296.428653326,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,5053808.688471092,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5080395.08315691,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,5157421.727513926,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5200430.149973228,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5255101.39137208,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,5371831.187411316,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,5375514.539692593,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,5393225.059532196,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,5622209.042982862,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,5667174.067612347,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,5769453.1924697105,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5786403.779511937,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,5806672.252798344,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,5816791.76691764,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,5884348.991123855,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5896816.271133754,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,5905697.422309923,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,5946089.551777992,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,5947459.311305733,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5952547.158819873,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5953949.82655395,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5984985.410530792,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5998122.673766014,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,6011703.698995999,0.0
