舍不得太爷的恩情厚,0,舍不得太爷的恩情厚，
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,1814090.3644421836,1.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3072094.6232202305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3101400.932858399,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,3449786.9549724967,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,3473186.9472382604,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3540428.932819625,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,3591928.729273354,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3733447.6785603627,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3793886.613075567,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,3798146.813462778,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,3840292.5178225944,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,3948467.873403469,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,4080512.0054991334,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,4175558.740564768,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,4248080.1965641165,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,4288631.773735081,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4339392.127133276,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,4353417.133725823,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,4391824.16827279,0.1111111111111111
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,4477318.575978696,0.1111111111111111
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4490410.495792401,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,4523996.06003406,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,4541575.948256139,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,4576757.028960315,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,4594909.3490264835,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,4801808.75016464,0.1111111111111111
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,4863610.698568414,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4922175.462614537,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4938393.794694108,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,5027938.33222962,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5045450.5942140035,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5090519.727551345,0.2222222222222222
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5151043.169993773,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5152977.557485776,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5244207.370288576,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5259034.349022851,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,5273831.774059331,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5297179.611241628,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,5306013.610691863,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5339946.71118134,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,5404422.395553464,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,5443931.848772807,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,5492935.135926228,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,5513036.801408878,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5530231.956451397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5616134.3662481215,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5670077.347558502,0.2222222222222222
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,5672028.3904303275,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5764125.623847435,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,5766942.482414658,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,5792266.866614412,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5795180.5715990495,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5816817.129918442,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5818864.712443915,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5865357.08963467,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5868273.667139197,0.2222222222222222
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5885496.46931873,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5910865.6076645665,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5951377.864517013,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5974876.613026527,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5994409.639431905,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6022911.718626731,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,6022916.599768766,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6048012.758790602,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6055756.909420552,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6119783.671206818,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,6187182.074780938,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6188212.351741205,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6206402.15074617,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6248455.110192647,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,6264319.525238818,0.2222222222222222
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,6267955.867715969,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6308830.1012410065,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,6314735.241664205,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6324434.484332644,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6338796.88206004,0.2222222222222222
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6381311.567901319,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6402653.775849143,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6417802.653858826,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6424151.69621498,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6467398.435748363,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,6471076.554835605,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6492246.53489779,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6500642.514697587,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6579582.930797831,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6580184.55119918,0.3333333333333333
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6620127.540417745,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6621662.367934269,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6663099.3038766105,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6665750.315753194,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,6692793.327151969,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6693570.472514504,0.0
