我本是卧龙岗散淡的人,0,我本是卧龙岗散淡（呐）的人，
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,1137852.0820340598,1.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,1370472.2824175966,1.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,4068178.5504501746,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4447270.470171734,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,4455650.215028353,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,4455650.215028353,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,5463705.004432722,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,5521176.372025775,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5657067.632278259,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5754268.326294978,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5856449.634367663,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,5893367.214076195,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5936148.751677403,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5976569.575043965,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,5989103.358204006,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6046023.883349141,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,6079926.541705397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6097990.380287349,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6133090.2921803165,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6136325.932795935,0.1
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,6192091.60300124,0.2
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6201751.743715746,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,6217612.427715677,0.1
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,6237075.558015967,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,6237707.627509223,0.2
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6240729.197914773,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6240729.197914773,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6254073.588221592,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6262572.588951092,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6265745.699203013,0.1
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,6303287.78161174,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6306884.603778742,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6377602.266992306,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6391665.834860452,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6519384.953867022,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6525657.170887083,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6536741.848062552,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6555798.621838447,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6579702.744857316,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6619656.031975408,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6631343.037281293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6652525.628819476,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6671133.828046142,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6685995.914127142,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6692936.630898663,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6699566.713629711,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6725592.331567948,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6819854.049542239,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6820267.398652603,0.2
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6835730.050753437,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6837700.169995778,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,6855037.09210022,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6858445.479602979,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6861349.5702682845,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6895863.37687061,0.1
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,6909512.804387946,0.2
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6926992.1112054745,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,6952711.711610227,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,6964896.626532745,0.1
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6973127.400380153,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6982810.087046828,0.1
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7034856.166683666,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,7045241.20032951,0.1
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7047956.711176626,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7051146.821601019,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7069345.555878396,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,7071715.862074034,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7097782.487454047,0.1
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7116527.7891357085,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7119149.558258177,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7151359.07036882,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7151359.07036882,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7160446.075373897,0.2
