百姓们闺房乐如花美眷,0,百姓们闺房乐如花美眷，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,1612193.007389171,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,2605275.2743012886,1.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,3680310.2500377931,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3962040.5091516846,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,4065396.4348899857,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4117575.3613239406,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4204745.0290362658,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4266853.4609493623,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4266853.4609493623,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4273595.1635411559,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4349859.1412440185,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4544515.7896325653,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4795942.4776421841,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4801237.6669355528,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,4899788.6721290415,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4953460.1538753845,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5095041.0357139744,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5108335.022431748,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5206055.8387884507,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5317439.4966854984,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5370458.2861391371,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,5510215.6912587695,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5529949.753487871,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5554147.4610337662,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5574917.1206696471,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5640630.9890415203,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,5703247.1516121132,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5829908.0362764969,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5945866.4884662749,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,5970629.7705055466,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5971534.8262032596,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6000759.1619296586,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6006312.9771320708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6048743.9585466003,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6048743.9585466003,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6056891.9964404348,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6141324.3607169222,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6143012.0163188726,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6208475.8601137288,0.0
