身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,1416836.8664100966,1.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,1759033.4721066332,1.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,2013993.3381924373,1.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,4166923.95250449,0.2
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,4337884.04909005,0.2
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,4353735.90968374,0.2
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,4646322.08022916,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,4983959.106857323,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,5155356.252680837,0.3
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,5352818.279107073,0.2
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,5451084.907413533,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,5457286.799810595,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5554591.5208629165,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5728858.134075233,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,5746132.375771723,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,5783229.593615469,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5818825.292065244,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,5848673.914497049,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5893935.287021875,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,5927033.304048581,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5934045.510568489,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,6036488.483825434,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6056751.388152996,0.2
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,6075281.352052983,0.1
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6091629.857611527,0.2
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,6100234.083894494,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,6229135.773350296,0.1
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6262531.815603659,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6348911.815036823,0.2
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,6392931.8168454105,0.1
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,6408968.565327361,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6438409.443449093,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,6480571.0962930145,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,6490964.0319940895,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,6655523.040355872,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,6665341.491633237,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,6671185.10015257,0.4
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,6738807.938517085,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,6751008.795091604,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,6756487.244685216,0.1
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,6773650.565038079,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6813387.863608532,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6820832.586808738,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6829819.780328965,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,6849924.146359897,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,6850932.192030485,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,6870810.321992756,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,6900167.016804583,0.2
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6900248.5930058,0.2
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6925736.477977335,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6932485.547042949,0.2
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6939633.675126772,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7022674.343776789,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7055416.501451457,0.2
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,7141477.993574053,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7153493.7371433,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7182503.435085448,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,7203951.401756111,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7240511.092202317,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,7273431.9901101915,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7354441.288756921,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7359866.566731701,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7366740.561772506,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7400479.220073656,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,7419546.113360538,0.2
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7452364.665218132,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7453935.79693731,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,7458289.821311042,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,7481505.379215512,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,7494813.886824865,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7516666.782362742,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,7516881.562396065,0.2
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7554956.398979373,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,7571563.599456592,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,7576929.131218783,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,7624069.473813754,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7628820.017372907,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7640490.902472544,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,7648868.651077487,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,7654743.681710977,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7666187.485104186,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7669771.406649152,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,7694514.822051426,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,7704726.700870809,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,7715151.076072769,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,7754905.178442621,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,7762809.333345907,0.2
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,7767099.389737507,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,7768955.392154096,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,7801295.666765351,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,7818604.461522365,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7870636.992207749,0.3
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,7873935.607066723,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7882990.474971409,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7951082.459453431,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,7953394.99039741,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7982445.071697437,0.2
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7998878.589351487,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7998878.589351487,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,8000903.58391533,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8031791.972116217,0.3
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8039091.748659185,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8057431.465357822,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8072367.842810974,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,8128969.9288319,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,8140522.027009744,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8146791.66886115,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8176897.17034728,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,8182807.84780445,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8191304.220670949,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,8200756.764057891,0.1
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,8234452.913593309,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,8276404.537573099,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8320861.198885912,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8362849.686753791,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,8364977.769154651,0.2
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,8421120.118364966,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8443317.700815152,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8462733.364864983,0.2
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,8471433.93740662,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8505534.353965154,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,8509064.50859712,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8509181.884608248,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8528709.375889698,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8554427.430862859,0.2
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,8555545.80108872,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8562140.85357149,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8568793.372129796,0.1
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,8583842.019764753,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8585314.551686065,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,8594305.600898236,0.2
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8605756.31984166,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,8631101.945465557,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8636408.421752116,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8641440.851850525,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8648938.195893336,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8678325.319984728,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,8696098.28584475,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,8700370.407045964,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8702023.011065794,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,8742729.464580925,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8744221.541628407,0.0
