愁人心中似箭穿,0,愁人心（哪）中似箭穿。
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,1010909.5639529116,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,1163243.8184055716,1.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4168888.3728624866,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,4266949.345919307,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,4376157.184842491,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,4494716.583639385,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,4501028.274418991,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,4531733.662483478,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,4557930.283333153,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4679806.286462164,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,4756242.990011524,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,4783209.540772995,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,4845421.7009523865,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,4850901.853406971,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,5034497.597885554,0.2857142857142857
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5057206.330986832,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5068545.50518974,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5111569.276068976,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5133282.218667689,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,5151912.125339865,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,5156414.24486606,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5191069.586360381,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5226503.975856722,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,5235757.395116965,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5379758.563261211,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5400172.264720486,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,5412383.46196987,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,5433565.856845084,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,5445870.494152239,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5487952.599691876,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,5500226.4402773045,0.2857142857142857
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5530416.829090997,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5581523.70468563,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,5593034.183495759,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,5596839.777372921,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,5631773.078734051,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,5750215.511194123,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,5760941.9591016965,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,5793230.765495652,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5833893.175561666,0.14285714285714285
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5834574.671253103,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,5940293.51808006,0.2857142857142857
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6007181.909175312,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,6026177.402913995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6039193.857008333,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6056638.090568392,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,6061761.326462537,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6067751.4340845235,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6069209.074141531,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6106551.496563745,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6125000.439622794,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6134372.2875834275,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6136411.645562984,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6153765.091302472,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,6186192.596980067,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6243195.224502057,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6252264.149934932,0.14285714285714285
