长吁短叹语声低,0,长吁短叹语声低。
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,2879549.4395225123,1.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4740111.8788083708,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5078793.750069079,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5562013.4701862466,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5912797.8584147273,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5921582.4678202355,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,5944039.5975427562,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5944079.3346991884,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5964654.4867975656,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6026493.2730203932,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6054620.9374698484,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,6295173.5864853244,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6447043.466859255,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6476360.1380055184,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6481618.9775305679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6503826.8812439749,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6506944.7273262693,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6512633.7840163242,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6553605.8938132515,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6612510.9135309961,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6644252.9880185435,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6645351.4659189917,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6662258.2404905446,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6669517.1413324997,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6672989.7487005722,0.2857142857142857
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6723661.0130710583,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6731061.8794377604,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,6736409.3313867394,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6743933.4520499595,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6758925.4965726929,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6781742.4742943719,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6792574.6759775244,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6795350.3285578154,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6815000.8433443233,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6835758.1020450518,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6875298.8891108632,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6906680.3031397313,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6915961.6663555345,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6917054.2501282105,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6925949.6252849009,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6952910.6387474677,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6964361.1650345959,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6972719.2812999366,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6977046.5179176014,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7026511.3253708296,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7037607.8400667468,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7058377.6404701397,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,7094924.0039362935,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,7130059.4101456972,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7149461.7291496666,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7150460.072268365,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7213099.192567464,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7223009.7470018677,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7246930.1419241922,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7247569.9085010188,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7266955.4731292399,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7291836.165988245,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7309268.6104801372,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7360876.0465734368,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7362434.9406848317,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7373040.8287030347,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7374457.015062103,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7500025.1775786066,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7544329.7183272103,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7552006.614694031,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7579380.2190275267,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7651805.0787092065,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7676967.875750443,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7688531.4315830441,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,7694641.0519000636,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7721289.4830529727,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7748700.8976559974,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7842579.698067314,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7847650.7033097865,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7862624.4325184003,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7870080.6428616522,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7870302.6928132633,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7873798.4717440298,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7881293.7289676983,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7896724.5782568352,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7919305.0475814492,0.14285714285714285
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7919860.0964856585,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7974885.8976440253,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7986555.1290677516,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7995388.4036741555,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7996108.3808524879,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8055007.1549178371,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8087406.0992841683,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8098378.3647377631,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8103778.9800727032,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8122051.256037401,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8125492.4231601181,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8161737.4305243511,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8169115.7424658192,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8199359.265795229,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8240396.2466774266,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8244682.4690895556,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8245288.3933054609,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,8253362.3860199843,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,8277894.9885392487,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8285219.7507200912,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8307463.1353598675,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8371837.1935787098,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8456602.2893157192,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8469549.9172923863,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8484828.0679691937,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8496339.331968559,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8496919.756356556,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8636877.9797325917,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8652872.8570999578,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8658494.281559851,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8685993.1072274577,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8718685.4803757928,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8747114.7554742955,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8754902.7902798057,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8764281.298167767,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8764845.6977954172,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8772627.9546819255,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8834717.8694102243,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8840908.8711805567,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8842429.2582062222,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8872135.8367011324,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8897769.2616674714,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8971508.3280199133,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8986481.0461448953,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9019719.1876459848,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9036541.5959048569,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9050586.6551533267,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9083127.2900877297,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9089511.0401498135,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9121410.3520526048,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9159387.0041805189,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9181467.2698533908,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,9214987.0541739482,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,9237537.831333356,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,9243796.4759949557,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9244943.3281943556,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9265188.0387928877,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9270657.6318037491,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9270936.9532399774,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9278756.1313011721,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9288895.594701197,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9297060.0885865763,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9346627.7277093194,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9371342.3603954557,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9429175.7065470032,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9444179.8918203022,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9450754.4483738299,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9484170.2508686893,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9504168.3419950027,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9521861.6601020079,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9531748.8181732595,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9539590.0609892439,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9568010.2907830514,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9570011.0436266754,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9623272.573413793,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9673182.6052470002,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9719966.1680824496,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9725578.3881661724,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9740908.9644016922,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9766674.0080856495,0.14285714285714285
