寸土怎能够属于他人,1,寸土怎能够属于他人。
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,1859213.1539952669,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,1928276.8440476395,1.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,1973228.5336756739,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2135514.2501539881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2136069.7282431354,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,2305933.6405943804,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,2374017.142889014,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2385090.2186243758,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,2387902.6874723826,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2420076.7874819818,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2571408.9424688509,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,2685985.5423432812,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,2711293.322282528,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,2716980.182587611,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2729821.950680356,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,2786378.6332445587,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,2801108.6202698788,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,2817081.8758747005,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,3003212.3005474759,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3317016.5489384723,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3354325.7911452474,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3372334.6335709556,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3374761.2643867987,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,3381627.1199383205,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3423797.7199635566,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,3527405.5620147889,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3527864.5450356063,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3534900.6002594815,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,3574703.5168960667,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,3660975.7462789733,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3711323.9604398138,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,3787270.3732523285,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3805495.4603354232,0.3333333333333333
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,3823624.4788392801,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,3823826.0790224732,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,3906453.5850145412,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3918395.0973140574,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3940411.1150974953,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3955250.6841338687,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4024692.7823700989,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4125019.9942603889,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,4127883.1146656191,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4130317.589624376,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4146564.0259371297,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4172409.2895450424,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4202650.9043600354,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4263286.9030896248,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4289088.48084551,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4298876.6063978449,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4308578.6934544072,0.2222222222222222
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4310064.7949230177,0.0
