白鹦鹉与仙鸟在灵岩神岘上下飞翔,0,白鹦鹉与仙鸟在灵岩神岘上下飞翔；
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,2073745.6494189617,1.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,3941835.3341027973,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4466917.6870075325,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4769033.9100727364,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,5129650.0549404845,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5174756.4443355454,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5573072.452005622,0.06666666666666667
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5575336.3315678202,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5725351.28317557,0.06666666666666667
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5770778.030209248,0.06666666666666667
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,5829831.0176108293,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5853545.3282063492,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,5893264.2178300265,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6068270.3871860653,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6091531.0146055585,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6260341.0972241759,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6323449.6315099131,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6360453.3235872416,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6411976.5946930386,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6423399.5762402592,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6423910.4971173694,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,6448945.8598350231,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6459411.0891978461,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6467083.5477994755,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6503480.7269927068,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6524308.452450186,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6540674.0288519012,0.06666666666666667
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6567122.1285383729,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6579456.2517276211,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6624893.1342396298,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6696072.5297619766,0.13333333333333333
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6713879.632073313,0.13333333333333333
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6775987.1210875055,0.06666666666666667
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6788273.9002393549,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6789186.8894569539,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6791812.5292225014,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6843079.6681878082,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6850201.9520691456,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6882135.7993993256,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6894723.3095501494,0.13333333333333333
