愿邦家从此后国泰民安,0,愿邦家从此后国泰民安。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,3023179.6323709544,1.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,4617588.9529720275,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5218885.1998141548,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5292494.1189249018,0.1
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5433225.2186844526,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5485465.3999294182,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5510055.1243626354,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5601463.3134383447,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5678886.7038134122,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5918075.7663472518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5945984.4080604929,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6349068.2734274222,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6477708.4967189282,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6657566.4488699911,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6774009.6600477519,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6803782.3737409785,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6957342.5215118518,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7028568.5076980703,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7104585.9579469804,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7105150.3537351023,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7173377.7605594406,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7185931.3539101649,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7234750.3462966233,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7307826.2843288677,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7425662.8493095208,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7433324.6748811183,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7475593.9335064683,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7604996.1912807385,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7634817.1497083111,0.1
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7644235.0710096499,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7668573.5717898887,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7675619.4916674076,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7676251.5222552409,0.1
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7725571.8604387548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7727651.7258790703,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7729908.1762229148,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7747499.4486958161,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7759087.1047816724,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7843779.4806008944,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7869008.6331699574,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7881429.1778149037,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7911381.0532033732,0.0
