岀二堂 深施礼,40,出二堂深施礼，
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,2741428.9087157026,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,3456517.6743206419,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,3860334.2729059723,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,3902507.113497477,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,4217136.0602867818,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4319186.0623148941,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4377437.7565854555,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,4403475.1672276063,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,4497932.0029602563,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4733634.1010148609,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,4783109.229328773,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4818984.2367150895,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4879939.1374412533,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4879939.1374412533,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4907758.0179248247,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4969451.5881134216,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,5294000.6519952938,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,5324513.4106070213,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5331895.1555498214,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,5455088.483752761,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5504428.7840562509,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5517295.3682043171,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5534336.5536013581,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,5562402.82139068,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5587772.7464718549,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5587772.7464718549,0.0
