为避狂徒到此间,0,为避狂徒到此间。
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,1398145.9083476358,1.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3512584.3028985085,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3512584.3028985085,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4001841.4269369543,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4001841.4269369543,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4094083.1876169024,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4106974.4981542854,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4469369.9355579102,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,4483562.5783911888,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4728176.2218677821,0.14285714285714285
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5072591.3799686283,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5090314.4105207827,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5186849.0522994669,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5299861.0073655276,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5535109.6633817386,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5568296.6883571269,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5595215.9870389383,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5615928.5707476512,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5650739.9535701126,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5691335.7429236174,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5730865.2765316684,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5867558.8284566021,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,5882191.4642510125,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5926519.7482927889,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5977664.6870153407,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6050098.7761479886,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6052013.9039215893,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6082129.2261860743,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6092421.9511002591,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6173385.0600945828,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6219515.5465970021,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6311922.33205924,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,6352098.6706074411,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6360161.1931291316,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6402890.0291816965,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6407365.7035680236,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6417196.410558464,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6417196.410558464,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6463455.6854808498,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6634948.5812147623,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6682323.1920886291,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6699970.6897740643,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6708850.768119094,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6743305.5211334154,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6768964.3458753088,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6801667.6016938705,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6840122.2871074202,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6874132.6352470182,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6885505.8891982567,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6927867.859941409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6957897.4946886282,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6973825.1893197456,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6981850.0230234722,0.14285714285714285
