一轮明月照窗前,0,一轮明月照窗前，
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,2101180.9012084426,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,2286268.863062962,1.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,3440869.945068985,0.8571428571428571
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,3529793.7242509336,0.8571428571428571
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,3910265.805987277,0.8571428571428571
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,4779912.151013341,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,5365499.2461107755,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,5684928.772345054,0.14285714285714285
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,5701707.310264937,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,5780798.74749258,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5802667.2958400175,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,5853772.393381679,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,5953479.058128228,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,5970861.805040259,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6080680.6308778105,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6211974.167687223,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,6227217.2967182165,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6396239.206719008,0.14285714285714285
