闲无事在敌楼亮一亮琴音,1,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5609387.250601855,0.09090909090909091
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5729706.072938234,1.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5731641.055310166,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6077227.355656441,1.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6117172.988245794,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6259887.353143309,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6336666.759741959,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6489977.77847014,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6519589.000719803,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6564342.602747383,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6646617.767473975,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,6719718.234681582,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6737162.381782966,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6785888.862613598,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6809271.293522917,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6809271.293522917,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6920868.3123156475,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6972220.4286873685,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7017037.413798345,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7108851.704041363,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7181583.36700688,0.09090909090909091
