将身儿来至在大街口,0,将身儿来至在大街口，
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,2022705.982507134,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,3503853.4396192487,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,3637677.945507281,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,3757931.0377443726,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3761762.5269481656,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,4103780.0666841036,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4252003.014953778,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4377554.808316585,0.2222222222222222
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,4395663.373368416,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,4430172.166818065,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,4460654.781035868,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4468250.688418007,0.1111111111111111
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,4775000.801042302,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,4846326.846281461,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4887544.674457571,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,4933602.428323514,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5149642.842399601,0.1111111111111111
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,5203277.482046159,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,5258472.890492003,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,5414013.346747377,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5417091.791996193,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5453699.170026206,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5457277.16672784,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5477553.358445171,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5592989.094198901,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5638121.526850014,0.2222222222222222
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5653615.093942565,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5700253.911462096,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5701299.332242073,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5747983.054138678,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5816155.130106196,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5829062.481692733,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5839729.421927926,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,5852626.6045366945,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,5888038.48484473,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5992168.618337667,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,5997506.392421524,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6024371.532808097,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6073632.806101172,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6144398.6567088645,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6261766.945997381,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6334259.775281392,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6409806.055896987,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6419751.559879121,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6451763.900848081,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,6461691.574744931,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6597517.437602373,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6604364.642791771,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6611896.15326054,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6678711.0103849,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6799044.840797271,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6812556.260734845,0.0
