舍不得衙役们众班头,0,舍不得衙役们众班头。
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,893489.3765489397,1.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,940089.2480299879,0.4444444444444444
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,2323950.0652270885,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2531975.4781729733,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,2670424.8068346684,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,2726858.4749565236,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,2787787.982721655,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,2829162.174580812,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,2873219.4936550506,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,2911036.1759481207,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,2927113.281387227,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,2943644.758559756,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3208125.996763896,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,3271899.4113704427,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,3294165.716460584,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,3348641.142806874,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3386616.1790430923,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,3413750.0798559934,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,3421006.5682024094,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3454117.8615815025,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,3543897.1577788857,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,3586333.248821523,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,3660926.6906981035,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,3673596.6674755253,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,3690299.2275784756,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,3738929.8101634374,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,3793668.0785741867,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3821748.749860371,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,3922009.508831803,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,3934876.955933956,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,3969056.8206500886,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,3987934.967470425,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3988870.7308810516,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,4018623.4172391198,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4046003.057905949,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,4050135.3891950673,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4054430.869176918,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4085922.468997485,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,4138509.9915179755,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4168146.792856468,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4178115.8630471407,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4207104.337073848,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,4221912.24564021,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4246467.254093198,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4248174.463834923,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4249027.384353723,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,4257393.775493798,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4269193.386257783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,4269284.271622678,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,4292810.090651744,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4298962.363463501,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,4315329.177685393,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,4347519.917250712,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,4367550.589590022,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4367550.589590022,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4376982.422407123,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4417238.520495203,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,4421139.283161419,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4423985.144106986,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4427834.693714288,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,4429383.5794923445,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4596158.6642768895,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4635311.991345787,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4655210.065208855,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4657863.002420532,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4671283.876990717,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,4685463.6059269,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,4693720.306466852,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,4707511.768512079,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4764659.088143536,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4787097.691641951,0.1111111111111111
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,4789636.826834734,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4807060.271596425,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4814762.653036154,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,4831433.68993198,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4844095.452353027,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4846106.865719147,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4889732.114275909,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,4905029.435174299,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,4921699.628812543,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,4938979.197672757,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4997093.072460346,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4997703.513442303,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5023051.866291065,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,5041593.550074267,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5052689.949373169,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5068407.913390283,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5090097.908773574,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,5096452.294652825,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5126040.489952964,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5126697.719152828,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5142275.998744247,0.1111111111111111
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5160061.646230126,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5177830.221234826,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5189298.0427620495,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,5215243.422210028,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5215411.321632765,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5216954.092183916,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5246448.678252457,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,5256942.873634749,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5258259.915194976,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5259600.834994111,0.2222222222222222
