但愿得杨六郎心如石坚,0,但愿得杨六郎心如石坚。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,2479124.2769478415,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,3502655.5770986881,1.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,3551769.3856007135,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4504842.6213602303,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,4608035.5521888575,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4644277.629392297,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,4866319.6911282558,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4869209.3825551411,0.1
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,4887556.9232944995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5002587.4776719715,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5140870.2407708224,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5157267.1730758324,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5198054.4604713134,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5344476.8751558326,0.1
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5382412.6378180925,0.1
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5394127.0043939054,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,5405143.421949693,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5415599.0752001209,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5421929.7866033278,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5428526.5602284772,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5489262.857950869,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5559904.4275230365,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,5706749.2763377018,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5731673.5280393977,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5768269.4397378601,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5784460.0752021829,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5784460.0752021829,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5786693.8842440331,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5795712.091456214,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5833469.0362333916,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5840547.9055313272,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5859265.767420481,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5890451.8471247321,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5928093.0518344305,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,5960181.5353830205,0.1
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,5974973.1305108601,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5995449.023112555,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6024156.7298262874,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6049543.8359387731,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6094415.3594239075,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6137471.1023278274,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6143119.3933142619,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6157744.3771370882,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6159311.3588496177,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6164208.3191935513,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6211453.7153543504,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,6223564.0301593216,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6239939.381157239,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6264828.563233641,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6299283.5372233186,0.1
