番王小丑何足论,3,番王小丑何足论，
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,1006594.8113883669,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,1410047.5025773188,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,1779378.1972296853,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,1889365.8077397051,1.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,2143794.3864228181,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,2143794.3864228181,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,2272745.181035141,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,2336158.0151968813,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,2568117.9772148388,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,2570430.0043693972,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,2782877.7213665359,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,3215197.0042075668,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3326326.8570047044,0.42857142857142855
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,3423097.4510898949,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,3480366.6746485517,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,3693077.1093940679,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3962528.6237640819,0.42857142857142855
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,4057046.4864688744,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4066069.3694094098,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,4068908.0667315195,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,4182513.5861737654,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,4182513.5861737654,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,4224378.7891763942,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,4283340.512157944,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4316892.308879137,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4375749.2929223236,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4400350.9725213014,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4434378.4584993264,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4470711.5561260665,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4492674.1134802848,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4496156.0818214705,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,4508106.0983281117,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,4528444.9183464395,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4550651.1636281805,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4579429.7344133761,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4615570.3926858595,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4640597.9864517385,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4736152.5993954875,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4766721.8918043654,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,4826704.0038294541,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,4837328.7855632585,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4864240.2906864407,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4900296.4807455549,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4927834.993446826,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4938898.2215631222,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5012628.1111859502,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5089619.9732797686,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5144226.0677832486,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5203866.134467057,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5228649.3030332318,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,5334454.7942905631,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5357822.9131681519,0.0
