满腹的含冤我向谁言,0,满腹的含冤我向谁言（哪）！
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,1990354.718767483,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,1990354.718767483,1.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,2837712.0178529695,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,2990132.773117075,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,3104366.071868372,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,3132359.9888483286,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,3175485.7430659733,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,3183279.399368217,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,3274333.562932452,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,3367958.6967521794,0.2222222222222222
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,3387514.1141902884,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,3402051.692888874,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,3415958.900852787,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,3435969.4242214207,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3505751.8548654164,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,3543533.40516179,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,3562018.6365875956,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3581708.199735472,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,3602179.1272674836,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,3606076.6349764466,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,3682965.184447912,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,3714527.508080338,0.2222222222222222
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,3715178.2524764803,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,3728500.0984547,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,3732010.8049600758,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,3735565.23641098,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,3747754.0788372024,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,3762685.1936112135,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,3770828.4026953974,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,3772040.464734142,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,3829223.4137469046,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,3838626.0805750913,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,3844382.956809656,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,3844801.369390753,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,3854344.0133389756,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3895176.102350662,0.2222222222222222
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,3909239.8392613414,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,3925954.1438037055,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,4007734.825550194,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,4026090.8291116804,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,4051815.978938865,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4053613.8326931708,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4069315.3990222025,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4084079.7910501272,0.1111111111111111
