舍不得衙役们众班头,1,舍不得衙役们众班头。
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,1424057.387572799,0.4444444444444444
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,1498767.4383576906,1.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,2046229.8637909153,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,2875676.469104231,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3095739.719504006,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,3263624.408334213,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,3290599.999354369,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,3322724.0178921893,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,3466407.0968625774,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,3471885.9460658934,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,3476688.3591695,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3506714.222414334,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3569350.203459938,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,3616216.782041727,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,3690911.5316308415,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,3857739.525127834,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,3876664.3547366043,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3882493.173645284,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,3898725.8338242373,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,3910124.27135126,0.0
