一不是响马并贼寇,0,一不是响马与贼寇，
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,1293399.8820423966,0.875
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,3226648.811627464,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,3404328.327238249,0.25
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,3557987.7422564263,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,3811602.719616828,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,3905710.8635887206,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,3934139.155151958,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,4009570.05661318,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,4037877.005442819,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,4403111.096373814,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,4500708.016294232,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,4512199.242728757,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,4591850.788885187,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,4622081.215878564,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,4714551.793728778,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,4785348.742025234,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,4785348.742025234,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5058050.283474997,0.25
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,5112783.986275957,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5172945.396976856,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,5204349.196951168,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,5239187.019517664,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,5328624.316030646,0.125
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5364380.029696233,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5367455.166686419,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5382056.041118246,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,5464298.795252345,0.375
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,5515961.056750287,0.25
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,5530710.174300621,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5614164.667830985,0.25
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,5635477.017122745,0.125
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5663010.915056043,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5681770.477991828,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5693036.497188704,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5717722.808882989,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,5720073.08967084,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5737916.091133581,0.125
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,5797033.9647648325,0.125
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6034854.135451926,0.25
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6046942.795709176,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,6062174.631802911,0.25
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6086306.385585438,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6094093.101945866,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,6123194.063169454,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,6124521.2690677885,0.375
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6160191.841930788,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6215415.497688228,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6233833.892419562,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,6321533.844342822,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6353458.654120982,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6447174.685611748,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,6465113.422682152,0.25
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,6544108.065428211,0.125
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6581124.739083847,0.0
