我一剑能挡百万的兵,0,我一剑能挡百万兵。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,2447317.3209180571,0.8888888888888888
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3404138.1587671423,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3404138.1587671423,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,3427539.5871978737,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3624096.0949239428,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,3827115.3187047313,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4123726.0986339631,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4189029.4882545308,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4196352.3591784388,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4221766.6839519646,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4225875.8727765298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4290582.1779980371,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4327419.487536313,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,4350264.0897823079,0.2222222222222222
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4367002.3691527843,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4369568.7234269278,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4429916.4346611965,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,4458824.6493442627,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4474550.7518027704,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4499333.18440066,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4604410.2005979605,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4633061.8506922377,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4659102.1913129799,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4682675.9664253769,0.0
