叫一声解差把店投,4,叫一声解差把店役。
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,1985808.5204674266,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,1995016.724313415,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2103639.245322768,0.125
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,2152159.200417076,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,2158445.8881467516,0.875
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,2201361.3832372506,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,2252288.746813257,0.125
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,2393789.7682752577,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,2470476.387524597,0.25
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,2534579.6499643736,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,2568966.813472235,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,2580220.7438126504,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,2608973.773695558,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,2614680.2347041494,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,2626932.9499258567,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,2630584.45994782,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,2688705.12355043,0.125
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,2690787.24072457,0.0
