必有隐情在心潮,56,必有隐情在心潮。
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,1682608.9080157233,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,1855548.6784827714,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,1996033.5151051923,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,2131996.2520436672,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,2136946.1526393509,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,2197696.8863799623,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,2197696.8863799623,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2207514.2334179389,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2250000.8183580707,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2376378.8830631529,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,2379679.4460592284,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,2580472.8760838094,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2619660.4595407145,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,2768913.1327446084,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,2948514.2928409353,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,2955218.9579431484,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,2958267.2454447886,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3088631.2129106438,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3137033.7145059607,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3164120.5115754199,0.2857142857142857
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,3178893.4008265198,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3193567.3780910918,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3443104.7930361903,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,3449019.0902699218,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3505892.0120753408,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3531032.1938436944,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3531037.1626951913,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,3552864.4699155004,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3553833.0497135031,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3562511.6192785013,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3601543.1334105683,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3617188.0118431919,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3676837.0358711621,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3753359.0589079065,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3801265.3798090052,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,3825457.3087122743,0.0
