也有失意痛哭嚎啕,40,也有失意痛哭嚎啕，
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1029515.9671158446,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2456849.127813614,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2477387.0179905063,0.125
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2549910.863469874,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2570626.2008367833,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,2689390.890520826,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,2947029.1763551319,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3118808.3850349672,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3393717.3103728034,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3717691.3893269855,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4162797.9949340527,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4243092.2895649662,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4278812.7781555792,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,4293753.4390371898,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4393445.295789157,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4468813.1614949079,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4514456.8119391408,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4667021.7067186926,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4727428.5836643111,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4833619.9170918781,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4855882.4473761637,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4871893.615955607,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4895934.9067863682,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5213401.8591682324,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5326230.3612623084,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5326864.0943058124,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5356109.250709434,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5470916.9011514867,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5509065.0344341109,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5510343.8278206876,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5560174.072310457,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5614096.4897977682,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5626955.6008802578,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5717263.0044391369,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5729328.6885448955,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5786645.5318288505,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6012660.0221548509,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6217264.0875379369,0.125
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6308665.233067696,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6369369.4537180336,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6383114.0180332419,1.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6473142.121946129,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6509390.3999652769,0.0
