莫不是平地风波起,9,莫不是平地风波起，
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,3357134.745865264,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,3557245.0192395863,0.125
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,3601844.7492520302,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3836896.0646819812,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4732546.8847926762,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4866195.8603922892,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,4866195.8603922892,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4924143.4124830421,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5083820.9482249785,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,5263506.1297219582,1.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5465410.67250623,0.125
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5528568.384129975,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5585014.0705521079,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5756582.2074612947,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,5875089.1671528751,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5976630.4850402931,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5999055.7866337094,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6079862.9694772176,0.125
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,6203827.057807615,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,6239492.9672881141,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6502230.728828351,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,6561622.8857216761,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6676525.0355956135,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6768670.425539664,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,6849451.5718355933,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6873124.9494946282,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6908259.4321274199,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6970630.3695485266,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7032098.2432156494,0.125
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,7095868.9194756113,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,7132927.8531041108,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,7144721.6531082233,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7187047.5158891166,0.625
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,7315428.3000690322,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7436826.1233735299,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,7500872.8427068023,0.25
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7502194.2966637891,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7566662.3331968151,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7569636.2112824917,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7628963.3195821941,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,7649566.5293850647,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7657927.2297535501,0.125
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7825111.0346096121,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7859982.6939881835,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7865855.9209046774,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7917254.8049870329,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7939820.2378397677,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7976399.5580643099,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8078966.1605837615,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8199293.1305086277,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8231619.6434828518,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8272560.8774657175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8293197.4652696624,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8315310.8392326469,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8347655.6729049254,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,8432453.4622253776,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8461979.4079255052,0.125
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8490230.0201220307,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8497662.292011153,0.125
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,8593708.6722180229,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8611610.2685699686,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8668027.7528560013,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8688465.3314680159,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8708697.0830799546,0.25
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8721477.7436221633,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8804177.2443206105,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8840752.0585928708,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8884282.252406938,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8952669.2888028901,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8966991.2471750304,0.25
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8985574.5786135662,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9020582.3247756325,0.125
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9072496.3914594613,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9131004.7519370429,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9176256.4240295999,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9212726.5226001777,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9341089.6449617408,0.25
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9360481.9731441587,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9448528.6554784719,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9534602.2818939053,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9534732.9787254333,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,9540315.5551735628,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9543630.7778449766,0.125
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9569138.3334210105,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9683270.0526947994,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9684767.9540517647,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9690455.4668911081,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9727271.6193697266,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9812841.5195965692,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9850684.0522270408,0.125
