轻移步走向前荒郊站定,0,轻移步走向前荒郊站定，
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,1018178.5369237781,1.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,3710445.3786287182,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3724946.8047962557,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,3746063.5385078755,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,3870715.5267098835,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4115801.6899079047,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4178466.2808667812,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,4200633.7971823299,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4244879.2839845112,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,4275654.5991975944,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4282532.515390682,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4405664.4348826632,0.1
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,4446097.3356748428,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4458147.5271700248,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,4471811.6215894511,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,4476336.2362960232,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4501342.4689336736,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4550027.5056912247,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4622450.661214781,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4646341.2035379168,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,4685633.5495620295,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,4686086.9819038212,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4713150.4070007754,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4755387.9442714378,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4766391.0113697639,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,4778313.4129926898,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4782770.7525824821,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,4838292.4069639444,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,4955676.6552201668,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,4961626.1558786053,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,4970202.6677683536,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4971103.0343293361,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4971170.0290552126,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4972584.9413964506,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4986612.2660262818,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4994333.3826602902,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5029388.437321458,0.1
