在长安是你夸大话,7,在长安是你夸大话，
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,2352012.4287212663,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,2409108.080673349,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,2530272.927622415,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,2554077.073945856,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,2606728.2951365863,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,2689329.2536231205,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2757706.8835831247,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,2874840.6941431616,1.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,2908357.543724672,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,2932891.032870728,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2961450.686004233,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,3165628.9894158505,1.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,3325372.9441811675,0.25
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3346055.8240596135,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3359438.8121187137,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3415903.725149011,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,3459370.091736728,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3459728.02170391,0.25
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3492176.5678893467,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,3514598.0719476603,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,3516359.5599134504,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,3521129.2679983177,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3553817.2458396954,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,3582862.5671350574,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3584246.5621612617,0.125
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3614944.0774596217,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,3619537.432643219,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,3620631.3076548204,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3649261.5514991973,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,3649908.446282506,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,3660307.58755506,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,3667765.2844820716,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3715211.0050804033,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,3717731.334934091,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,3786277.595041878,0.25
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,3872190.3362363065,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,3911699.260393092,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,3999830.147179547,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4012274.996584676,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4053287.6590193687,0.125
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4112800.928093313,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4175124.9057201995,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,4189964.3082944136,0.125
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4230430.742715634,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4234294.918553748,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,4331791.247388055,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4332444.556823733,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4337042.732214215,0.125
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,4396587.739448052,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4401379.303803596,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4406954.535108845,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4414129.098583248,0.125
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4459053.440523366,0.125
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4482935.350984264,0.0
