想必是新婚度鹊桥,0,想必是新婚渡鹊桥，
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,1444552.8154776266,0.875
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,3004628.6340323919,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,3061965.5069922134,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,3080217.3858060879,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,3111198.7628420931,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,3164816.5182226305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,3309634.3109351229,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3596117.5693332572,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3596117.5693332572,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,3614285.5391650959,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3708137.8458035314,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3816750.1876610108,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3847179.5534200314,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,3965801.1248836168,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4060020.286242465,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4128217.701813675,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4140250.8173317639,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4156359.3141913321,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4166466.0857215505,0.125
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,4167196.0859290427,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4167499.0903357081,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4226263.1962095229,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,4280851.8663614094,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4322474.9965492599,0.375
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,4324245.4887644006,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4377857.9504987011,0.375
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4395765.7761318237,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4399501.7656967277,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4399501.7656967277,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4402943.0528342342,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4403656.901331136,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4494522.4555546381,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,4528303.3246590691,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4537044.2808152037,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,4541129.3501032554,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,4619292.4145092508,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4671837.2341610668,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4754585.0700779464,0.125
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4761156.080443318,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,4834455.8405923191,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4858897.5045975884,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4898811.6126003386,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5016506.3021938791,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5084707.870282514,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5109405.2957641464,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5127174.9271650985,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5127855.4221216878,0.125
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,5136060.727801621,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,5175013.1184672518,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5183605.0363427037,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5193333.2817221954,0.125
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,5196618.2607938051,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5196836.6280428348,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5202791.3932528589,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,5206541.1267629508,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5235997.2702519512,0.125
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5242299.6436726209,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5336153.5149185974,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5371406.145431811,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,5405698.3840878084,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5411958.0858141137,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5413014.5284804944,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5460325.8664701777,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5467488.6461291919,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,5505686.5755770188,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5523741.2577622524,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5543732.8846667968,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5561867.9816755559,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5574373.1684835963,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,5584621.5694948947,0.125
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5590205.8463535877,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5590205.8463535877,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,5592568.5161298821,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5608227.9458731497,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5641702.0746238492,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5677533.5035650814,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5679420.8724008938,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,5690948.2557551144,0.125
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5698668.5327358786,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5717814.1939098146,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5728824.6150416471,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,5765893.5122183571,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5773284.5382117685,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5788234.4625750743,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5793705.6484939521,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5798674.5247222446,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5804747.7105857804,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5812637.2205653507,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5816052.2499953527,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5818185.1081753895,0.125
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,5834073.6626739614,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5865854.8744203411,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5867757.7707978133,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5873390.8963995762,0.125
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5936027.031143398,0.125
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5938700.3626181362,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5983527.5880249729,0.125
