去了我左右膀难以飞行,0,去了我左右膀难以飞行。
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,2249856.7972674156,1.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,3713372.279394692,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,3964152.4425587403,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,4226709.359306982,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4234616.702190281,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,4262641.860603536,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,4281056.954537752,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4467664.336492354,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4571558.161157673,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4574622.375106729,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4666732.425016279,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,4682067.885575876,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,4691009.866337149,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4757479.492731436,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,4945714.36999427,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4962192.40168432,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4999581.663983441,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,5026437.037576663,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5028316.961681685,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5056890.374550643,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,5094218.598375884,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5114459.026126984,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5136293.73889023,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,5175593.12633531,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,5193517.448507532,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,5193517.448507532,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5257589.087830538,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5284943.844772704,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5285962.5256601665,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5334845.432642804,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5364575.730459754,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5376486.161393032,0.0
