行不安坐不宁情态缠绵,0,行不安坐不宁情态缠绵。
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,1992624.6544785348,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,2551292.8683852442,1.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,3978804.3728510011,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4146506.143808594,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4318105.86106297,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4385045.9878784548,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4442189.9410580862,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4598810.1183132418,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4618093.5481213881,0.2
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4693576.7033901075,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,4695011.8790838085,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4722496.3976908168,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4784983.8801253466,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4796475.2307587517,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,4809747.1190701276,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4927533.3353426252,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4951275.5496324906,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5083634.5145721938,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5106446.0968437549,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5173384.7207800066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5259551.0818223692,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5455878.953542755,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5508495.8775062878,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5513575.384954554,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5570561.4901669119,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5694786.5092707938,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5787784.4365119133,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5797616.3600419927,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5854400.1595472712,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6011208.5952000069,0.2
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6038692.8520215787,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6046150.5122894235,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6091168.0282394122,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6102496.1909938427,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6110218.9492331054,0.2
