海岛冰轮初转腾,0,海岛冰轮初转腾；
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,1255364.348341902,1.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,3532339.0670350259,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,3607768.8831069809,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,4241149.6831630189,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4243134.9786236528,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4312198.4271634165,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4432360.2742600311,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4560090.0854523797,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4692301.8695280701,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4827531.6431401642,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,4926392.8432853194,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,4974437.7029131418,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,5004899.3090801323,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5076881.7098477464,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5140020.2812525332,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5164032.6400025329,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5169618.4042992583,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5231441.4944403432,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,5235862.0471316045,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5236037.6207839567,0.0
