夜夜何曾得安眠,0,夜夜何曾得安眠。
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,3893683.248581751,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,3893683.248581751,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4488118.530907908,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4718946.31054823,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5058889.0414748555,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5133269.963475384,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5145823.027717854,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,5279337.73728131,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5474385.494597724,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5502767.982528382,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5537010.595870107,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5642509.527679839,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5825368.279098909,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5884134.433806249,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5885481.363449238,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,5949825.402869091,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,6010322.116691654,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,6019188.735719024,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6046088.010447823,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,6070953.653312842,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6092143.718499507,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6156127.987873076,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,6260641.752041755,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6271582.934624511,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6281480.29167079,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,6335493.879395419,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6384345.787105175,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6411711.114610923,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6412131.4307344835,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,6492311.8445004225,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,6529586.809365672,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6655135.929971969,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6800507.373492765,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6825171.44424841,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6826501.357411194,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6842551.291835027,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6846492.304309754,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6873221.080213009,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,6911657.485987772,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,6949363.302610169,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6961912.09673421,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6969770.082996447,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7046096.4909327105,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7051128.833293194,0.2857142857142857
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7071644.103903193,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,7075080.162985426,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7080201.445523978,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7083116.077743138,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7102680.824797154,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7107044.9315313995,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,7119907.707928396,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7136288.469967081,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7204328.176019309,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,7205132.462537656,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7224629.113981026,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7280009.920643862,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7313779.749937894,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7341079.123824389,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7370458.901690799,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7398464.963124646,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7401325.782332927,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7461186.242741314,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7477501.760156454,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7482434.582130644,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7490581.534615254,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7511154.170695822,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,7523111.477052407,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,7552683.169254379,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,7553238.026059196,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7559411.717610073,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7587133.563052326,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7598066.74058863,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7609145.915697799,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7609739.021692173,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7624766.930502406,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7631133.831265163,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7638776.091375357,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,7650310.334129035,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7707256.550807753,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7711329.945342358,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7717981.905906508,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,7727167.491413408,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7751182.034727305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7785957.662593973,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7797089.103247939,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7797089.103247939,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7828387.862912363,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7842140.064236887,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7849431.42376346,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7863726.818381216,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,7879077.088333016,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7898615.673274291,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7901030.3276246395,0.14285714285714285
