吉日良辰当欢笑,2,吉日良辰当欢笑，
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2830150.8910644073,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,3308332.2771818466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,3543024.5184638384,1.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3656050.3540572347,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,3852649.406195804,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4098202.9940748503,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4166225.7775741108,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4227860.2146307603,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4432859.0931434399,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4454349.5191736966,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4454796.9120699205,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4729323.3268432561,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4789677.881968624,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,4853984.4685664605,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,4874218.9267868521,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5412401.7347905925,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5462584.9478874626,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5468994.4406838603,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5583935.9422839433,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5609785.1806621328,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5708297.2059394345,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5770706.9775672462,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5788869.7224709205,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5799740.8759415718,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5813112.559742799,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5894727.910007582,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5933331.3576851673,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5966257.3439193908,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6055729.9906964349,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6184609.5067851087,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6185643.6292069471,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6309239.2159530465,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6358848.1731546856,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6467376.7393523008,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6539112.4134736303,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6705844.8453125935,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6771462.5621965369,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6796439.8767147977,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6892017.4858410442,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6942301.6286955047,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6944186.8976894878,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6944341.5504263006,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6977644.2908416186,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7006763.1653568195,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7086131.4994978318,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7171788.7134181047,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7216756.9898566548,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7273173.6193872066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7291643.6261476083,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7347019.9702880681,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7500250.1158748362,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7503071.8238889035,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7566611.98244764,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7588326.5775514748,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7639415.9084692718,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7649362.6225614212,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7706528.7904843651,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7808823.1830123449,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7870666.0298725655,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7894878.1517124055,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7960467.686975305,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7991601.9210871644,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8115546.8732723081,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8125314.3188494127,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8139131.1588447848,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8151242.5079594962,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8218161.069627353,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8260470.2275542924,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8271211.62283991,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8300878.3821952548,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8332088.21789834,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8341338.3505895184,0.0
