相公你为何不歇息,2,相公你为何不歇息？
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7502430.2225026097,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7845133.464711546,0.125
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7921045.1894996818,1.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8040181.7295275526,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8072346.5945528196,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8072742.702822621,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8187843.4045890421,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8388783.1668706015,0.125
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8442893.5320691075,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8466898.6490832325,0.125
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8536539.9610635433,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8636243.0472020637,0.125
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8645481.3555449806,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8661499.3050784636,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8784793.3514194153,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8847436.0447832868,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8903318.7209903132,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8937839.815848792,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8955823.4677492641,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9009484.2511684336,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9154455.287605647,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9168319.6298721768,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9214277.1352101378,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9240286.117187079,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9300506.9693870377,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9344175.7174903993,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9439565.509264376,0.125
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9545547.817863645,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9550692.1902502757,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9598375.042325221,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9642853.5072288457,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9653224.2911276259,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9699814.4528881703,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9782981.3765645307,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9791684.3920738492,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9871318.9823850729,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9885046.620997142,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9885267.8838549443,0.125
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9897431.2095265184,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9957045.9827977531,0.125
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9971196.5134859961,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10065584.800028957,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10105119.395659324,0.125
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10155403.421660807,0.125
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10221135.951919962,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,10254313.39475921,0.125
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10303508.184802834,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10317618.599702222,0.125
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10326600.625143109,0.0
