我这里出帐外且散愁情,0,我这里出帐外且散愁情。
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,984696.82698157837,1.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,4268092.3319182741,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4661485.3665264025,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5510691.9911430255,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5783662.5700444495,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5882382.6934201624,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5899614.431093134,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5944265.0848266548,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5969789.8244478861,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6066408.6015761495,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6137665.371529053,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6221723.8179395497,0.1
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6225436.8211060259,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6264831.6936695864,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6282945.7546101836,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6288225.8034400837,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6296840.633510055,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6297874.6007216182,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,6298404.0997730605,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6321862.2761053108,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6364185.7435504515,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6373642.6497689895,0.1
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6461515.0280046584,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,6501865.1225217441,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,6511700.2344521759,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6524325.5556534473,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6558829.629162088,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6566903.3879469363,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6586244.5794393932,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6667028.124068425,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6705866.8931159042,0.2
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,6782455.8532244014,0.2
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6800043.1293657878,0.1
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,6800170.4953026883,0.1
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6846692.2531426866,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6848350.095968483,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6856957.405956354,0.1
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6870896.3411494298,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,6870896.3411494298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6917705.893638582,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,6975512.7891351385,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7002432.2910452094,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7088402.2894621436,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7099049.2912788661,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7145600.2389174094,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7170515.8902971856,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,7190055.8568734499,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7203603.6978740962,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7242250.553992385,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7263353.3442744045,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7285196.7042684192,0.1
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7342680.1653706431,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7386144.9637784762,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7439799.2241123542,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7442165.8471348928,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7449347.7722377237,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7449347.7722377237,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7470327.4357266976,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,7487114.0877213078,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7488262.0492652887,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7491767.323371537,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7498049.9204994254,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7506704.4630066436,0.1
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7508484.4599777404,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7567270.8053797977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7604325.8490116103,0.1
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7609712.7411127249,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7630655.9390732907,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7630994.8805356007,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7649130.0517162746,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7710224.6549015176,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7710224.6549015176,0.1
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7742816.3453843398,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7782034.824159231,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7782197.2663667314,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7784158.9346178845,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7825827.8062607944,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7830378.5123515166,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7835902.1574214417,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7856912.593346782,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7871560.2571213068,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7927859.3982325252,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7954801.0923271514,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7962815.9664915418,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7963692.6235785987,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,7983152.8436686695,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,7983548.1761421002,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8027045.5259723114,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8052110.107429103,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8061065.3493814385,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8083389.3479096191,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8092934.4370147632,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8135872.7131458074,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8162175.9140679408,0.1
