唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,1044271.5943667793,0.9
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,1410924.06813869,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,1667119.9306540776,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2541307.5963705769,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,2604957.7346510747,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2925891.917198434,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3024958.1066332394,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3096424.1160606695,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3123956.7935399315,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,3243849.9270985876,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3245425.1199464859,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3306901.8684529602,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3338949.3761656084,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3340301.5721673258,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3652532.1473773327,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,3703605.6425920581,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,3760719.9751467058,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3798171.7676094668,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3889363.4122692551,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3914912.2544668615,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3973760.2116185687,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4218104.9334332068,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4232511.6286498401,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4244402.3505060337,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4301459.198324753,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4332031.3747444814,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4338072.1114289938,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4383704.8672418837,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,4388265.1087651551,0.1
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4569795.1084896205,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4575752.0815566415,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4624156.37184243,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4641892.2422223985,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4723566.2816124372,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4746265.4107048018,0.1
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4783994.8958115466,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4803545.8014154006,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4807640.7242131513,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4818822.2949071303,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4851712.3436517362,0.2
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,4889050.027598883,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4897826.9884192441,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4903770.8313188031,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4924003.8482413841,0.1
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4974273.4750069929,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4974563.5565900123,0.0
