年老得配女娇娃,11,年老得配女娇娃。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6336099.15207868,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,6373707.773444565,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6377053.77018518,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6457057.434267011,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7275025.058480156,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7276073.816824661,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7301594.437140191,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,7401274.352553995,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7497922.960064409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7511676.752971711,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7674486.509295332,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7715908.731155565,1.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7777177.106846246,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7794885.459685779,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7891812.444890268,0.0
lsxp-WoBenShi-KongChengJi-2.xml_7,我诸葛怎比得前辈（呃）的先（呃）生。,7903118.3427626835,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7912531.532889652,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7912531.532889652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7946752.838471298,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7946918.747978174,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7954376.477729424,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7975620.387945399,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8082741.852966753,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8084837.177592691,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8176162.196009004,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8210920.352627316,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8212370.910549589,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8219973.624830994,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8251416.353031506,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8302806.002003823,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8395270.327601358,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8408154.922039475,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8412189.28194497,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,8414546.385422321,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8439894.029517436,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8448524.2642098,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8474342.691795176,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8479204.569432985,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8494689.12699192,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8521623.637033226,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8536545.410925446,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8571570.277096795,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8614647.354916686,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8661948.87645314,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8756818.229529526,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,8809270.884569228,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,8809270.884569228,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,8829681.955992505,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,8897706.835262982,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8950266.562744826,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9001381.597457461,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9024848.88480207,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9044513.285430543,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9045894.803642226,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,9054800.85289424,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9084160.10053089,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,9089503.924922692,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9098050.347349342,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,9126968.396130383,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9131996.086008647,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9141769.312124861,0.0
