自那日朝罢归身染重病,0,自（喏）那日朝罢归身（呐）染重病，
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,1243241.7968971073,1.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,4786484.698580141,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,5378287.547171381,0.2
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,5650869.202784691,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,5870190.234607025,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,5873014.75939587,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,5966164.161151027,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5995700.271271694,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6167642.465989627,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6223109.300458939,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6313521.033252093,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6551272.502052147,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6571005.229346654,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6596608.846851609,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6608865.414894822,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6611064.074345065,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6661349.273678922,0.1
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6673847.414845812,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6674020.309063469,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6704792.900669101,0.2
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,6765945.265525743,0.1
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,6768724.578462505,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6801537.277923575,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6803395.640793045,0.1
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6882875.452215818,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6896165.576463247,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6957711.923044632,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6968667.058000453,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,6988742.551007116,0.1
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7015384.903473252,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7025325.88037344,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7034692.97920911,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7200102.538886406,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7273862.980737028,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,7282030.555153231,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7319844.330790365,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,7365887.877650535,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7377182.4890322825,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,7399272.811072708,0.1
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,7412145.941135873,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7419194.123620756,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,7422365.317762967,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,7428391.557303777,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,7440076.26072027,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,7462942.07379064,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,7471451.263179154,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7506429.745604173,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7508508.414692854,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,7607749.899421157,0.1
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,7608349.727144663,0.1
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,7621480.241806585,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7629453.92127786,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7649229.054486063,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7651237.047594139,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7661981.040298806,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7691781.185288883,0.1
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7702298.625111959,0.1
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,7722524.122083921,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,7796771.703259856,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7841435.532915327,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,7844760.997803993,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,7870248.796064269,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,7874760.111472678,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,7916200.356243912,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7967564.929086978,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,7978010.182092482,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7996686.916158561,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,8006102.816704859,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8023039.328144692,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,8048052.214275816,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8094341.814798933,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8127680.310640244,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8129145.164104653,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8129257.3977839155,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8139486.10700281,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8152377.772777184,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,8169061.705872262,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8170665.408160059,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,8194946.239843743,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,8237593.2616964495,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,8246672.218624698,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,8255365.143442049,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,8275682.697788602,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,8293625.930479883,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8297937.717741848,0.1
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8317670.331068377,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,8324415.094956232,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8345504.83512207,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8356955.621801169,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8373253.289475638,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8375483.845042947,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,8381872.293711346,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,8398579.92395939,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,8398940.815285997,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8403777.755470773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8407651.861628525,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,8416321.466025049,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8434656.560992211,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8462086.905138794,0.1
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,8466025.332836023,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8472178.107394958,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,8483036.961620592,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8503800.705299415,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8512369.13057896,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8515539.95092584,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,8517587.346024271,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8518294.801852088,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8529995.65151833,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,8539463.219594918,0.1
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,8542820.868098166,0.0
