敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,648029.02402345429,1.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,729545.90062340861,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,2257845.4884854816,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,2298789.1008787481,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,2326537.2194814193,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,2450540.4907014151,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,2450540.4907014151,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,2548197.5398919466,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,2885370.5905687823,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,2938469.8353619338,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,3051795.4164981949,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,3051795.4164981949,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,3133093.1663403581,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,3299704.9998485749,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3330085.5460755941,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3382656.9012943315,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3389443.7878296324,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,3427312.9213821846,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3434345.7207976356,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3676618.7604872943,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,3695815.6961450074,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,3754950.6661676983,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,3757166.619801553,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3803583.6268021287,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3817209.6744980179,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,3940574.2585199024,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3988268.6484993589,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4013594.201201186,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4043883.799528318,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4053559.4786705067,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4194112.77757402,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4195715.2533680862,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4233892.5714947199,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4236634.0037613669,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4247572.6379540758,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,4272309.1697337208,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,4305473.0921962038,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4383074.0927689904,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4383074.0927689904,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4431185.3347276766,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4438403.6137597384,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,4462982.2105871812,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4463370.0799493194,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4486631.9881699933,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4487618.7329179365,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4519045.0072785327,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,4534053.1342333704,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4539804.1410463648,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,4542316.3212652309,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4566914.9597140914,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,4570071.4876584494,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4602371.2283782009,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4732108.4590529129,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,4747349.749354424,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4755075.8116633361,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4755862.8898860486,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4787107.6968957037,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4789013.8496105205,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4806246.7021433823,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4832374.4780496787,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4833024.5338219386,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4833458.9159627911,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4833729.3593238667,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4837681.7623023903,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4865817.1393815679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4867195.7157717217,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,4877552.4605381722,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4888158.0887604775,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4902480.2310595224,0.0
