胡言乱语怎瞒咱,8,胡言乱语怎瞒（呐）咱！
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,2866954.121371857,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,2938728.612404939,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3098493.194150007,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3192908.126661401,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,3293602.9698901256,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3346985.6854725583,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3354508.0364032206,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3410427.715302349,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,3417297.5435886234,1.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3420249.955894699,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,3500446.35219471,1.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3570906.643707964,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3591543.3251319965,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,3658818.4777726056,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,3674801.9555971916,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,3716778.379485518,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,3755319.810452649,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,3762732.112681128,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3843930.0457757637,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3848419.855631332,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,3850275.195914637,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,3931101.2778995438,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,3931673.0364777646,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,3943122.0030902214,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,3946887.3210963784,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,3975021.8719177786,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,3975021.8719177786,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4022111.220814183,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4041725.047734871,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4057006.0949602993,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4065055.451526376,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4080319.1307546445,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4194911.994336676,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,4205794.038401991,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4211970.413507298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4224514.563053984,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,4231770.061956705,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,4249822.298297615,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4256575.953181169,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4259400.048514145,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4285424.161195078,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4286292.603236238,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4296301.538499916,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4297013.160205208,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4297909.924200408,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4300472.967634439,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4342264.791096283,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,4349721.211701469,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,4361703.979396664,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,4366024.513580845,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4386531.423486948,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,4411362.714490793,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4471909.495274647,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4473921.941173739,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,4524514.566267342,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4527755.572400137,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,4556176.936133241,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,4585037.785294192,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4594248.208841127,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4603277.394101591,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4621281.318024278,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4634056.022572177,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,4650957.652333875,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,4659903.096423522,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4664182.884934095,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4699004.448660738,0.0
