官封到武乡侯执掌帅印,0,官封到武乡侯哇执掌帅印，
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,1191384.846202435,1.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,2126452.6535715023,1.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,3685247.9637919753,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,4595187.197893909,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5008368.685714511,0.1
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,5026499.502450947,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5262369.37408521,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,5560699.758355353,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,5688677.719116726,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5776022.255464743,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,5818025.064767187,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,6024029.568700495,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6138204.931821068,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,6348607.816605206,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,6362250.986115544,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,6421146.191256791,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,6426419.638370039,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6633549.030773764,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6714609.010751784,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,6793223.198267823,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6815069.34775245,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6867389.882159738,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,6970043.035936894,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7051896.884686568,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,7120509.237726033,0.0
