舍不得太爷的恩情厚,0,舍不得太爷的恩情厚，
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,4927473.502729963,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,6261695.655827644,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,6384055.25766713,0.1111111111111111
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,6497863.269701187,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6554756.692358615,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6630947.868727798,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6765862.7934633,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,6826464.309966795,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6903433.7984842425,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,7098073.042396765,0.2222222222222222
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7127240.702220734,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7145955.538878579,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,7236174.456803489,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,7274205.363784598,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7327208.693677475,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7400532.462492554,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,7408703.53834666,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,7450772.504452217,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,7450910.051493068,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,7573278.398088967,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,7797877.66264535,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7861402.467000125,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,7895427.872828502,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7962773.509372833,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,7972593.090461779,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,8020753.142939263,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8050586.121049626,0.0
