独守空帏暗长叹,0,独守空帏暗长叹，
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,1632407.9533850823,1.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,2515796.822768515,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,3051010.1277197446,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,3147266.1813703375,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,3513610.431245592,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3576591.0036405129,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,3585150.5413831649,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,3603742.0791430906,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,3690321.8509738627,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3711767.754684425,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3823154.5717159915,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,3865923.03091976,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,3880179.7066320148,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,3932859.0922477636,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,3944494.9783519609,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3970962.1512418985,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,3976206.693448049,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3979345.4694737559,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4006665.7209177902,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4063121.0260197036,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4063777.8697147807,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4092282.4318867102,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4092819.9675000422,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4122232.8906607279,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4196162.2582490947,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4275833.0719967764,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,4286945.8232646715,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4332592.209530727,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4333387.9396957848,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,4347739.3184845829,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4352562.2939039106,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4414841.3430078728,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4416114.6876606811,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4421846.7381559424,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,4447136.7120410642,0.14285714285714285
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4472091.0643460508,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4472795.393830304,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4485304.6023765253,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4528720.1545636207,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4533060.8030948592,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4539137.5020055808,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4559166.5095938705,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4568891.1647898238,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4587961.78382798,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,4596051.5205013836,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4608748.4685490606,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,4616662.2067250172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4619713.8475513682,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4675756.0957757561,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,4685842.5383388111,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4686818.1192087885,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,4694932.963198103,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,4725286.901668448,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4732762.972258525,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,4739758.8883060701,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4741550.935944668,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,4765138.0680313408,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,4793703.0185413193,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,4824707.9654937061,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4837436.8597532194,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4877402.4716389533,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,4901335.7187080048,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4945437.3888678104,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,4981420.6094528046,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4986962.2485320531,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,4995428.6783023793,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5001206.4800029453,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5028543.7383666448,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5034233.1162503632,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5035596.1677706847,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5041750.2575498922,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,5108617.7107644351,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5116939.8517958364,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5124172.1402844097,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5140338.1936048549,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5162655.7981140884,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5164258.1747899558,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,5166198.0321698394,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,5203756.2613672474,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5206943.294586421,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5211565.1648487737,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5221701.1364625534,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5234546.3809677819,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5236760.1592857409,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5236924.8072627457,0.0
