我好比龙游在浅沙滩,0,我好比龙游在浅沙滩。
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,1749002.7615710096,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,1823047.3689523293,1.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,2359872.7868085783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,2975764.6793633197,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,3141162.9566245344,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3209214.7705234378,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,3236477.1440628176,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3583772.2381807654,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3602065.3207701202,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,3674157.5830013035,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,3684427.011716419,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,3697875.2828244735,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,3697875.2828244735,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,3728375.8306810716,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,3730543.887780395,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,3738038.5447029276,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,3750023.3805044596,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,3753048.0899048387,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3761032.036801807,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,3799249.0618880717,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3866316.4154518056,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,3873491.5100323064,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,3873912.09192163,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,3884733.8111258196,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,3911754.1648107013,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,3931263.6758584715,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,3945272.1242780914,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,3955554.417846084,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,3964377.905151632,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,3990458.189524383,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4013337.5657399707,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4015491.786554633,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4029767.626870021,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,4056987.185636437,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4066202.2859599465,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,4068728.016557456,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4075594.200133954,0.1111111111111111
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4078149.5172081743,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4085983.139336099,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4088773.9122251133,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,4111033.635471141,0.3333333333333333
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,4114163.453189583,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4122422.3064437415,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4125496.0145603064,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4147602.1882050904,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,4167986.702029052,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,4176124.262067767,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,4177365.0166016044,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,4198757.0218696715,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,4227485.046629818,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4241069.544495161,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4244677.928009852,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4270105.879878391,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4271662.910429235,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4277599.806343588,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4279170.4021040695,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4279170.4021040695,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,4280410.604556122,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4281177.729802268,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,4306070.3071220415,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4313112.095123681,0.1111111111111111
