番王小丑何足论,5,番王小丑何足论，
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,857646.45514203084,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,1000545.0940636636,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,1000545.0940636636,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,1015064.2366096685,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,1115601.5855937749,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,1209708.1333008448,1.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,1310217.3905315141,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,1858932.3722784414,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,1858932.3722784414,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,2083500.3823884246,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,2175420.1625232883,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2376286.5279938206,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,2592609.907239818,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,2641817.1664587823,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,2641817.1664587823,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,2848338.5853896416,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,3027244.9647981608,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3038412.4998979741,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,3075487.962720254,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,3099258.1219554944,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,3131847.3954390832,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,3195831.1705149557,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,3434072.5125188017,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,3542480.7962527797,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3608473.8821446574,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,3665230.5629240586,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3765596.4359452911,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4024801.681305327,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,4100182.7360005211,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4156410.9764724858,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4297584.6493218569,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,4375256.4382972233,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4520729.1662255554,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4616510.468986256,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4630796.7338092104,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4699839.3495006086,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4748305.2626280989,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4753702.6552485479,0.14285714285714285
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4784685.7753511509,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4813145.3402961176,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4857357.9847438652,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4939572.6373521537,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,4982831.6456986256,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5008311.6852892777,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5039571.3959991429,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5099765.3757637069,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,5107319.2827904541,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,5182501.3986367965,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5374473.166380655,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5374713.6462899009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5382247.2719136104,0.42857142857142855
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5405653.6426736256,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5500535.53139883,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,5519339.9884763286,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5583957.6662417827,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5594803.5585553776,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5624441.4388591861,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5672756.9074242357,0.42857142857142855
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5700440.8012992842,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5703145.7310101492,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,5753510.7647109181,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5791222.1221116809,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5802758.6262655566,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5804857.5791678531,0.0
